date,description,amount
2026-05-01,ACME CORP PAYROLL DIRECT DEPOSIT,3200.00
2026-05-01,RIVERSIDE APARTMENTS RENT MAY,-1450.00
2026-05-02,TRADER JOES #112,-64.28
2026-05-02,STARBUCKS STORE 4521,-6.75
2026-05-03,SHELL OIL 57492,-41.10
2026-05-03,NETFLIX.COM,-15.49
2026-05-04,CHIPOTLE ONLINE 0083,-13.40
2026-05-04,UBER TRIP HELP.UBER.COM,-18.25
2026-05-05,WHOLE FOODS MARKET,-88.02
2026-05-05,SQ *JOES COFFEE CART,-4.50
2026-05-06,PACIFIC GAS ELECTRIC,-96.40
2026-05-06,COMCAST XFINITY,-79.99
2026-05-07,AMAZON.COM*3R4TT9QP3,-34.99
2026-05-07,CVS PHARMACY #3391,-22.15
2026-05-08,LYFT RIDE FRI PM,-15.60
2026-05-08,MCDONALDS F4821,-9.80
2026-05-09,SPOTIFY USA,-11.99
2026-05-09,TARGET T-2210,-56.73
2026-05-10,TST* CORNER BISTRO,-52.40
2026-05-11,SAFEWAY STORE 1748,-71.55
2026-05-11,PAYPAL *MERCHXYZ123,-27.00
2026-05-12,BART CLIPPER RELOAD,-40.00
2026-05-12,CHEVRON 00934,-38.75
2026-05-13,DOORDASH*THAI PALACE,-31.20
2026-05-13,VENMO PAYMENT JSMITH,-45.00
2026-05-14,WALGREENS #5521,-18.60
2026-05-14,AMC THEATRES 08811,-24.00
2026-05-15,CITY WATER UTIL DIST,-52.10
2026-05-15,WM SUPERCENTER #1234,-63.44
2026-05-16,COSTCO WHSE #445,-142.87
2026-05-16,STARBUCKS STORE 1187,-5.95
2026-05-17,STEAM GAMES PURCHASE,-19.99
2026-05-17,UBER EATS,-27.80
2026-05-18,BEST BUY #0219,-1849.00
2026-05-18,SHELL OIL 20481,-36.20
2026-05-19,TICKETMASTER EVENT,-89.50
2026-05-19,TRADER JOES #112,-58.11
2026-05-20,MONTHLY MAINTENANCE FEE,-12.00
2026-05-20,IKEA US ONLINE,-210.34
2026-05-21,CHIPOTLE ONLINE 0091,-14.10
2026-05-21,LYFT RIDE MON AM,-12.40
2026-05-22,KAISER PERMANENTE COPAY,-35.00
2026-05-22,WHOLE FOODS MARKET,-92.60
2026-05-23,NETFLIX.COM,-15.49
2026-05-23,SQ *JOES COFFEE CART,-4.75
2026-05-24,AMZN MKTP US*1H8KX2LP2,-46.21
2026-05-24,ATM WITHDRAWAL FEE,-3.50
2026-05-25,TARGET T-2210,-38.90
2026-05-25,TST* CORNER BISTRO,-47.15
2026-05-26,SAFEWAY STORE 1748,-66.32
2026-05-26,UBER TRIP HELP.UBER.COM,-21.75
2026-05-27,SPOTIFY USA,-11.99
2026-05-27,CVS PHARMACY #3391,-16.40
2026-05-28,PACIFIC GAS ELECTRIC,-101.20
2026-05-28,COMCAST XFINITY,-79.99
2026-05-29,DOORDASH*SUSHI HOUSE,-38.60
2026-05-29,PAYPAL *MERCHXYZ456,-19.99
2026-05-30,DELTA AIR LINES,-486.20
2026-05-30,MARRIOTT HOTELS RENO,-612.75
2026-05-31,ACME CORP PAYROLL DIRECT DEPOSIT,3200.00
2026-06-01,RIVERSIDE APARTMENTS RENT JUN,-1450.00
2026-06-01,TRADER JOES #112,-61.47
2026-06-02,STARBUCKS STORE 4521,-6.25
2026-06-02,SHELL OIL 57492,-39.60
2026-06-03,CHIPOTLE ONLINE 0083,-12.90
2026-06-03,VENMO PAYMENT MDIAZ,-60.00
2026-06-04,WHOLE FOODS MARKET,-84.19
2026-06-04,SQ *JOES COFFEE CART,-5.10
2026-06-05,COMCAST XFINITY,-79.99
2026-06-05,PACIFIC GAS ELECTRIC,-88.75
2026-06-06,AMAZON.COM*7F2KP9LM1,-29.49
2026-06-06,CVS PHARMACY #3391,-19.85
2026-06-07,LYFT RIDE SAT PM,-16.90
2026-06-07,MCDONALDS F4821,-8.55
2026-06-08,NETFLIX.COM,-15.49
2026-06-08,TARGET T-2210,-49.62
2026-06-09,TST* CORNER BISTRO,-412.50
2026-06-10,SAFEWAY STORE 1748,-69.80
2026-06-10,PAYPAL *MERCHXYZ789,-33.40
2026-06-11,BART CLIPPER RELOAD,-40.00
2026-06-11,CHEVRON 00934,-37.15
2026-06-12,DOORDASH*THAI PALACE,-29.90
2026-06-12,SPOTIFY USA,-11.99
2026-06-13,WALGREENS #5521,-14.20
2026-06-13,AMC THEATRES 08811,-24.00
2026-06-14,CITY WATER UTIL DIST,-49.60
2026-06-14,WM SUPERCENTER #1234,-71.02
2026-06-15,ACME CORP PAYROLL DIRECT DEPOSIT,3200.00
2026-06-15,COSTCO WHSE #445,-158.36
2026-06-16,STARBUCKS STORE 1187,-6.40
2026-06-16,STEAM GAMES PURCHASE,-14.99
2026-06-17,UBER EATS,-24.55
2026-06-17,SHELL OIL 20481,-34.80
2026-06-18,TICKETMASTER EVENT,-64.00
2026-06-18,TRADER JOES #112,-59.72
2026-06-19,MONTHLY MAINTENANCE FEE,-12.00
2026-06-19,OVERDRAFT FEE,-35.00
2026-06-20,CHIPOTLE ONLINE 0091,-13.75
2026-06-20,LYFT RIDE MON AM,-11.90
2026-06-21,KAISER PERMANENTE COPAY,-35.00
2026-06-21,WHOLE FOODS MARKET,-90.14
2026-06-22,NETFLIX.COM,-15.49
2026-06-22,SQ *JOES COFFEE CART,-4.95
2026-06-23,AMZN MKTP US*3R4TT9QP3,-52.18
2026-06-23,ATM WITHDRAWAL FEE,-3.50
2026-06-24,TARGET T-2210,-41.33
2026-06-24,TST* CORNER BISTRO,-46.80
2026-06-25,SAFEWAY STORE 1748,-63.94
2026-06-25,UBER TRIP HELP.UBER.COM,-19.45
2026-06-26,SPOTIFY USA,-11.99
2026-06-26,CVS PHARMACY #3391,-21.60
2026-06-27,PACIFIC GAS ELECTRIC,-93.85
2026-06-27,COMCAST XFINITY,-79.99
2026-06-28,DOORDASH*SUSHI HOUSE,-36.20
2026-06-28,PAYPAL *MERCHXYZ321,-24.99
2026-06-29,ACME CORP FREELANCE BONUS,850.00
2026-06-30,ACME CORP PAYROLL DIRECT DEPOSIT,3200.00
